rent,rentsqm,area,rooms,yearc,bathextra,bathtile,cheating,district,location,upkitchen,wwater
624.8,8.33,75,2,1985,no,yes,yes,Schwab-Frei,good,no,yes
606.91,9.06,67,3,1968,no,no,yes,Th-Ob-Fo-Fu-So,normal,yes,yes
347.68,8.91,39,1,1970,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
373.98,10.39,36,1,1966,no,no,yes,Send-West,normal,no,yes
1063.5,10.43,102,4,1924,no,yes,yes,Schwab-Frei,good,no,yes
894.78,10.17,88,3,1960,no,yes,yes,Schwab-Frei,normal,no,yes
1077.23,7.33,147,4,1918,yes,yes,yes,Schwab-Frei,good,no,yes
331.67,5.1,65,3,1966,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
849.24,9.99,85,3,1969,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
1012.86,8.73,116,6,2001,yes,yes,yes,Feld-Has,normal,no,yes
664.69,9.11,73,3,1924,no,yes,yes,All-Umenz,normal,yes,yes
1022.6,11.36,90,3,1989,no,yes,yes,Th-Ob-Fo-Fu-So,top,no,yes
640.32,7.91,81,3,1972,no,no,yes,Th-Ob-Fo-Fu-So,good,no,yes
649.35,11.81,55,2,1983,no,yes,yes,Th-Ob-Fo-Fu-So,top,no,yes
699.46,9.2,76,3,1918,no,no,yes,Au-Haid,normal,no,yes
479.46,8.56,56,2,1957,no,no,no,Au-Haid,good,no,yes
400.34,9.31,43,1,1984,no,yes,yes,Obgies,normal,no,yes
1151.63,10.97,105,3,1918,yes,yes,yes,Au-Haid,good,no,yes
593.4,8.99,66,3,1966,no,yes,yes,Obgies,normal,no,yes
817.25,8.6,95,3,1918,no,yes,yes,Au-Haid,normal,no,yes
584.38,9.58,61,2,1960,no,yes,yes,SchwWest,normal,no,yes
505.62,8.87,57,3,1966,no,no,yes,Send,normal,no,yes
621.6,8.4,74,3,1984,no,yes,yes,Schwab-Frei,normal,no,yes
706.61,7.36,96,3,1971,yes,yes,yes,Trud-Rie,good,no,yes
691.92,7.77,89,3,1972,yes,yes,yes,Bogenh,good,no,yes
566.21,8.99,63,2,1979,no,yes,yes,Trud-Rie,good,no,yes
269.84,4.35,62,2,1918,no,yes,no,Lud-Isar,normal,no,no
526.7,4.02,131,5,1924,no,yes,yes,Lud-Isar,normal,no,yes
710.69,10.45,68,2,2000,yes,yes,yes,Lud-Isar,normal,no,yes
689.49,8.21,84,3,1983,no,yes,yes,Lud-Isar,normal,no,yes
511.3,10.23,50,2,1968,no,yes,yes,Lud-Isar,normal,no,yes
418.3,5.73,73,4,1960,no,yes,yes,BamLaim,normal,no,yes
415.32,6.39,65,3,1966,no,yes,yes,BamLaim,normal,no,yes
445.33,7.81,57,2,1918,no,yes,yes,BamLaim,normal,no,yes
359.73,4.13,87,3,1924,no,yes,yes,Moos,normal,no,yes
890,10.23,87,3,1984,no,yes,yes,Neuh-Nymp,good,no,yes
483.43,8.95,54,2,1992,no,yes,yes,Neuh-Nymp,good,no,yes
656.51,11.13,59,2,1992,no,yes,yes,Neuh-Nymp,good,no,yes
695,7.64,91,3,1966,no,yes,yes,Schwab-Frei,normal,no,yes
106.22,3.32,32,1,1957,no,yes,yes,Mil-AmH,normal,no,yes
132.24,3.57,37,2,1948,no,yes,no,Mil-AmH,normal,no,no
456.44,4.91,93,4,1977,no,yes,yes,Mil-AmH,normal,no,yes
489,6.19,79,3,1948,no,yes,yes,Bogenh,normal,no,yes
825.48,8.01,103,4,1982,yes,yes,yes,Ugies-Har,normal,no,yes
831.28,9.04,92,3,1966,no,yes,yes,Ram-Per,normal,yes,yes
715.82,10.23,70,3,1960,no,yes,yes,Ugies-Har,normal,no,yes
637.38,8.39,76,3,1989,no,yes,yes,Bogenh,normal,no,yes
813.78,11.3,72,3,1992,no,yes,yes,Bogenh,normal,no,yes
339.5,3.77,90,3,1973,yes,yes,yes,Bogenh,good,yes,yes
598.23,8.31,72,3,1957,no,yes,yes,Laim,normal,no,yes
361.97,5.48,66,2,1924,no,yes,yes,Laim,normal,no,yes
693.57,8.67,80,3,1966,no,yes,yes,Laim,normal,no,yes
549.98,7.64,72,3,1973,no,yes,yes,Laim,normal,no,yes
621.79,9.57,65,2,1998.5,no,yes,yes,Feld-Has,normal,yes,yes
352.85,4.97,71,3,1993,no,yes,yes,Feld-Has,normal,no,yes
969.36,8.89,109,4,1983,yes,yes,yes,Pas-Obmenz,good,no,yes
298.95,5.44,55,2,1997,no,yes,yes,Pas-Obmenz,normal,no,yes
456.94,7.62,60,2,1997,yes,yes,yes,Pas-Obmenz,normal,no,yes
292.28,8.35,35,2,1966,no,yes,yes,Pas-Obmenz,normal,no,yes
649.82,6.37,102,4,1974,yes,yes,yes,Bogenh,normal,no,yes
363.91,11.37,32,1,1918,no,yes,yes,Au-Haid,good,no,yes
1749.15,14.22,123,4,1918,no,yes,yes,Bogenh,top,no,yes
679.01,8.28,82,3,1972,no,yes,yes,Bogenh,normal,no,yes
643.64,9.07,71,3,1972,no,yes,yes,Bogenh,normal,no,yes
727.96,9.1,80,3,1918,no,yes,yes,Au-Haid,normal,no,yes
963.84,9.01,107,4,1966,no,yes,yes,Bogenh,top,no,yes
338.34,5.21,65,3,1960,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
718.07,10.26,70,2,1983,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
892.13,9.39,95,3,1918,yes,yes,yes,Lud-Isar,normal,no,yes
1217.15,9.66,126,4,1918,no,yes,no,Lud-Isar,normal,no,yes
338.15,8.05,42,2,1960,no,yes,yes,Lud-Isar,normal,no,yes
466.43,9.33,50,2,1968,no,yes,yes,Maxvor,normal,no,yes
570.1,7.22,79,4,1966,no,yes,yes,Had,normal,no,yes
673.47,9.23,73,4,1960,no,yes,yes,Trud-Rie,good,no,yes
562.58,10.23,55,2,1974,no,yes,yes,Neuh-Nymp,top,no,yes
639.13,3.85,166,6,1918,yes,yes,yes,Neuh-Nymp,good,no,no
619.94,5.39,115,5,1918,no,no,yes,Neuh-Nymp,good,no,yes
426.73,10.94,39,1,1957.5,yes,yes,yes,Au-Haid,normal,no,yes
294.82,4.09,72,3,1918,no,yes,no,Au-Haid,good,no,no
304.23,5.25,58,2,1918,yes,no,no,Au-Haid,good,no,yes
587.99,11.76,50,2,2000,no,yes,yes,Schwanth,normal,no,yes
308.99,4.48,69,4,1924,no,yes,yes,Schwanth,normal,no,yes
516.5,8.33,62,2,1918,no,yes,yes,Schwanth,normal,no,yes
998.83,12.18,82,3,1993,yes,yes,yes,Trud-Rie,good,yes,yes
951.37,10.12,94,2,1988,yes,yes,yes,Trud-Rie,good,no,yes
679.38,7.72,88,4,1968,no,yes,yes,Ram-Per,normal,no,yes
505.67,6.93,73,4,1966,no,no,yes,Ram-Per,normal,no,yes
292.61,7.7,38,1,1969,no,yes,yes,Ram-Per,normal,no,yes
536.87,8.26,65,2,1969,no,no,yes,Ram-Per,normal,no,yes
613.55,8.07,76,2,1972,no,no,yes,Ram-Per,normal,no,yes
546.5,7.01,78,4,1960,no,yes,yes,BamLaim,normal,no,yes
246.48,4.04,61,3,1924,no,yes,no,BamLaim,normal,no,yes
588,11.53,51,2,1924,no,yes,yes,Maxvor,good,no,yes
756.34,8.5,89,4,1918,no,yes,yes,Obgies,normal,no,yes
149.62,2.49,60,3,1957,no,no,no,Obgies,normal,no,no
237.75,4.1,58,2,1918,no,yes,no,Au-Haid,good,no,no
261.19,11.36,23,1,1968,no,yes,yes,Obgies,normal,no,yes
476.53,6.19,77,3,1968,no,no,yes,Ram-Per,normal,no,yes
379.86,5.35,71,3,1970,no,yes,yes,All-Umenz,normal,no,yes
181.98,3.87,47,2,1960,no,no,no,Moos,normal,no,no
907.53,9.36,97,4,1966,no,yes,yes,Moos,normal,no,yes
767.94,7.31,105,4,1970,no,yes,yes,Moos,normal,no,yes
740.71,10.58,70,3,1967,no,yes,yes,Feld-Has,normal,yes,yes
678.93,7.63,89,4,1972,no,no,yes,All-Umenz,normal,no,yes
705.29,6.41,110,4,1918,no,yes,yes,Neuh-Nymp,good,no,yes
458.92,9.18,50,2,1960,yes,no,yes,Neuh-Nymp,good,no,yes
560.76,6.76,83,2,1918,no,yes,yes,Neuh-Nymp,good,no,yes
559.87,10.37,54,2,1993,no,yes,yes,Bogenh,normal,no,yes
690,8.96,77,2,1983,no,yes,yes,SchwWest,good,no,yes
920.34,9.49,97,4,1966,no,no,yes,SchwWest,good,no,yes
469.08,7.11,66,3,1966,no,no,yes,Had,normal,no,yes
324.67,7.92,41,2,1969,no,yes,yes,Had,normal,no,yes
685.04,7.87,87,3,1966,no,no,yes,SchwWest,good,no,yes
410.74,4.67,88,4,1924,no,no,no,Laim,normal,no,no
608.43,10.31,59,2,1992,no,yes,yes,Ram-Per,normal,no,yes
383.48,9.59,40,1,1984,no,yes,yes,Ram-Per,normal,no,yes
505.23,6.56,77,4,1974,no,yes,yes,Ram-Per,normal,no,yes
586.11,7.51,78,3,1989,no,yes,yes,Ram-Per,normal,yes,yes
585.03,8.36,70,2,1966,no,no,yes,Neuh-Nymp,good,no,yes
605.78,10.44,58,2,1918,no,yes,yes,Neuh-Nymp,normal,no,yes
536.74,8.13,66,3,1960,no,yes,yes,Neuh-Nymp,normal,no,yes
690,11.9,58,2,1985,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
423.43,6.23,68,3,1982,no,yes,yes,Th-Ob-Fo-Fu-So,good,yes,yes
352.5,10.37,34,1,1970,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
387.96,5.97,65,2,1966,no,no,yes,Th-Ob-Fo-Fu-So,normal,no,yes
428.93,9.32,46,2,1966,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
277.93,7.94,35,1,1966,no,yes,yes,Ram-Per,good,no,yes
1150.42,10.46,110,3,1960,no,yes,yes,Alt-Le,good,yes,yes
392.98,5.1,77,3,1970,no,yes,yes,Mil-AmH,normal,no,yes
1038.48,10.82,96,4,1985,yes,yes,yes,Schwab-Frei,good,yes,yes
490.85,12.27,40,2,1972,no,yes,yes,Lud-Isar,good,no,yes
389.77,6.09,64,2,1918,no,yes,yes,Lud-Isar,good,no,yes
618.17,7.82,79,3,1918,no,yes,no,Lud-Isar,good,no,yes
718.86,8.77,82,3,1998.5,no,yes,yes,Lud-Isar,normal,no,yes
377.08,4.9,77,3,1969,no,yes,yes,Obgies,normal,no,yes
552.21,8.5,65,2,1970,no,yes,yes,Obgies,normal,no,yes
871.77,11.47,76,3,1984,yes,no,yes,Ram-Per,normal,no,yes
419.27,7.36,57,2,1957,no,no,yes,Send,normal,no,yes
383.47,10.65,36,1,1998.5,no,yes,yes,Send,normal,no,yes
635.69,6.84,93,3,1918,no,no,yes,Send,normal,no,yes
527.76,6.07,87,4,1972,no,no,yes,Send-West,normal,no,yes
647.81,8.2,79,3,1985,no,yes,yes,Send-West,normal,no,yes
345.72,9.1,38,1,1966,no,yes,yes,Send-West,normal,no,yes
680.36,6.74,101,4,1972,no,yes,yes,Moos,normal,no,yes
517.59,9.77,53,3,1966,no,yes,yes,Moos,normal,no,yes
414.65,5.76,72,3,1969,no,yes,yes,Au-Lo-La,normal,no,yes
722.92,8.82,82,3,2000,no,yes,yes,Pas-Obmenz,good,no,yes
524.14,9.53,55,2,1971,no,yes,yes,Au-Lo-La,normal,no,yes
410.97,10.27,40,1,1972,no,yes,yes,Bogenh,normal,no,yes
175.81,2.88,61,2,1918,no,no,no,Laim,normal,no,yes
1113.78,7.96,140,5,1966,no,yes,yes,BamLaim,normal,no,yes
314.74,5.33,59,2,1948,no,no,yes,BamLaim,normal,no,yes
551.55,9.68,57,2,1967,no,no,yes,Bogenh,normal,no,yes
773.69,11.05,70,2,1918,no,yes,yes,Schwab-Frei,good,no,yes
487.61,12.19,40,1,1966,no,yes,yes,SchwWest,good,no,yes
762.35,11.21,68,3,1918,no,yes,yes,Maxvor,good,yes,yes
486.4,9.73,50,2,1960,no,yes,yes,SchwWest,good,no,yes
400,11.76,34,1,1983,no,yes,yes,SchwWest,good,no,yes
1119.75,10.98,102,3,1918,no,no,yes,SchwWest,good,no,yes
538.07,10.55,51,2,1918,no,yes,no,Maxvor,good,no,yes
1153.77,9.61,120,4,1972,yes,yes,yes,SchwWest,normal,no,yes
300.42,11.13,27,1,1972,no,no,yes,Schwab-Frei,good,no,yes
564.01,5.76,98,3,1918,no,no,yes,Schwanth,normal,no,yes
637.03,7,91,3,1987,no,yes,yes,Lud-Isar,normal,no,yes
562.43,8.39,67,3,1957,no,yes,yes,Schwab-Frei,good,no,yes
496.15,7.63,65,2,1918,no,no,yes,Maxvor,good,no,yes
261.98,4.85,54,2,1957,no,no,no,Maxvor,good,no,no
926.93,10.19,91,4,1960,no,no,yes,Au-Haid,normal,no,yes
393.2,5.96,66,3,1966,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
565.09,6.65,85,4,1971,yes,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
613.56,8.29,74,3,1974,no,yes,yes,Had,normal,no,yes
592.96,11.19,53,2,1996,no,yes,yes,Send-West,good,no,yes
458.82,5.66,81,3,1972,no,yes,yes,Send,normal,no,yes
279.35,7.98,35,1,1967,no,yes,yes,Send-West,normal,no,yes
800,10,80,4,1988,yes,yes,yes,All-Umenz,normal,no,yes
563.96,7.42,76,3,1978,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
389.77,10.26,38,1,1968,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
1288.48,8.83,146,1,1973,no,yes,yes,Th-Ob-Fo-Fu-So,good,no,yes
488.55,7.88,62,3,1957,no,yes,yes,Ugies-Har,normal,no,yes
766.95,8.52,90,3,1979,no,yes,yes,Ugies-Har,normal,no,yes
921.23,9.21,100,3,2000,yes,yes,yes,Neuh-Nymp,normal,no,yes
373.25,10.66,35,1,1966,no,yes,yes,Neuh-Nymp,good,no,yes
331.87,9.76,34,1,1957,no,yes,yes,Neuh-Nymp,top,no,yes
344.06,11.47,30,1,1971,no,yes,yes,Ugies-Har,good,no,yes
529.56,8.41,63,2,1957,no,yes,yes,Ugies-Har,normal,no,yes
617.65,13.43,46,2,1957,no,yes,yes,Ugies-Har,normal,no,yes
239.07,3.68,65,3,1918,no,yes,no,Send-West,normal,no,no
424.71,7.87,54,3,1973,no,no,yes,Send-West,normal,no,yes
377.2,6.08,62,3,1960,no,yes,yes,Send-West,normal,no,yes
591.44,9.7,61,2,1966,no,yes,yes,Laim,normal,no,yes
521.52,11.34,46,2,1918,no,yes,yes,Maxvor,good,no,yes
627.66,8.84,71,2,1957,no,yes,yes,Maxvor,good,no,yes
426.91,8.54,50,2,1957,no,yes,yes,Maxvor,good,no,yes
695.45,9.8,71,3,1966,no,yes,yes,Alt-Le,good,no,yes
184.11,4,46,1,1918,no,no,yes,Ram-Per,normal,no,yes
661.31,7.6,87,3,1948,yes,yes,yes,Ram-Per,good,no,yes
869.21,9.45,92,3,1918,no,yes,yes,Au-Haid,normal,no,yes
304.22,6.08,50,2,1918,no,no,no,Au-Haid,good,no,yes
997,9.68,103,3,1948,no,yes,yes,Au-Haid,good,no,yes
458.11,8.33,55,2,1971,no,yes,yes,Trud-Rie,normal,no,yes
163.17,2.91,56,2,1918,no,yes,no,Pas-Obmenz,normal,no,no
640,9.41,68,3,1971,no,yes,yes,Pas-Obmenz,good,no,yes
485.74,11.3,43,2,1967,no,yes,yes,Schwab-Frei,good,no,yes
559.76,6.83,82,4,1918,no,yes,no,Schwab-Frei,good,no,no
505.08,7.77,65,2,1991,no,yes,yes,Pas-Obmenz,normal,no,yes
603.34,9.28,65,3,1970,no,yes,yes,Pas-Obmenz,normal,yes,yes
673.87,8.98,75,3,1981,no,yes,yes,Pas-Obmenz,normal,no,yes
594.4,5.66,105,5,1970,yes,yes,yes,Send-West,normal,no,yes
554.73,7.3,76,4,1975,no,yes,yes,Send-West,good,no,yes
768.15,8.44,91,4,1981,no,yes,yes,Laim,normal,yes,yes
664.69,15.83,42,2,1957.5,no,yes,yes,Neuh-Nymp,good,no,yes
764.5,9.56,80,4,2000,yes,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
257.3,4.95,52,2,1987,no,yes,yes,Schwanth,normal,no,yes
1022.6,12.78,80,3,1918,no,yes,yes,Lud-Isar,good,no,yes
1195.52,8.86,135,5,1995,no,yes,yes,Lud-Isar,good,no,yes
890.59,10.86,82,3,1918,no,yes,yes,Lud-Isar,good,no,yes
327.23,9.62,34,1,1918,no,yes,yes,Lud-Isar,normal,no,yes
392.05,12.25,32,1,1966,no,yes,yes,Lud-Isar,good,no,yes
544.93,8.79,62,2,1974,no,yes,yes,Mil-AmH,normal,yes,yes
583.75,5.17,113,4,1918,no,yes,yes,Schwab-Frei,good,no,yes
501.08,6.86,73,3,1957,no,no,yes,Send,good,no,yes
676.33,7.77,87,3,1993,no,yes,yes,Ram-Per,normal,no,yes
658.42,7.75,85,4,1960,no,yes,yes,Send,normal,no,yes
747.22,10.24,73,4,1998.5,no,yes,yes,Send,normal,yes,yes
450.97,13.67,33,1,1973,no,yes,yes,Send-West,normal,no,yes
848.76,9.43,90,4,1918,no,yes,yes,SchwWest,good,no,yes
203.75,4.74,43,2,1957,no,yes,no,Schwab-Frei,good,no,yes
1094.18,12.16,90,3,1990,no,yes,yes,Schwab-Frei,normal,no,yes
521.52,7.9,66,3,1969,yes,yes,yes,Laim,normal,no,yes
592.84,11.86,50,2,1985,no,yes,yes,Mil-AmH,normal,no,yes
271.11,5.53,49,3,1960,no,yes,yes,Mil-AmH,normal,no,yes
855.03,11.71,73,3,1972,yes,yes,yes,SchwWest,good,no,yes
272.96,4.14,66,3,1966,no,no,yes,Mil-AmH,normal,no,yes
602.69,8.86,68,3,1980,no,yes,yes,SchwWest,normal,no,yes
700.47,10.01,70,2,1998.5,no,yes,yes,Laim,good,no,yes
486.06,5.86,83,4,1966,no,yes,yes,Bogenh,normal,no,yes
777.19,8.18,95,3,1966,no,yes,yes,Bogenh,normal,yes,yes
603.33,8.62,70,3,1967,no,yes,yes,Bogenh,normal,no,yes
448.42,6.06,74,3,1995,no,yes,yes,Ram-Per,normal,no,yes
509.28,7.07,72,3,1973,no,yes,yes,Ram-Per,normal,no,yes
789.96,10.68,74,2,1983,yes,yes,yes,Ram-Per,good,no,yes
390.26,6.5,60,2,1988,no,yes,yes,Ram-Per,normal,no,yes
956.13,9.11,105,4,1966,no,yes,yes,Ugies-Har,normal,no,yes
769.76,12.22,63,3,1966,no,yes,yes,Mil-AmH,normal,no,yes
753.29,10.92,69,3,1983,no,yes,yes,Maxvor,good,no,yes
664.69,8.52,78,3,1972,no,yes,yes,Maxvor,good,no,yes
923.67,11,84,3,1918,no,yes,yes,Maxvor,good,no,yes
556.89,6.79,82,3,1957,no,yes,yes,Maxvor,good,no,yes
1236.38,9.89,125,5,1918,no,yes,yes,Au-Haid,good,no,yes
284.92,4.67,61,2,1924,no,yes,yes,Au-Haid,normal,no,yes
974.84,9.11,107,3,1918,no,yes,yes,Au-Haid,good,no,yes
506.18,9.2,55,2,1960,no,yes,yes,Au-Haid,good,no,yes
882.24,8.91,99,3,1983,no,yes,yes,Au-Haid,good,no,yes
461.81,5.13,90,4,1948,yes,yes,no,Feld-Has,normal,no,no
516.77,4.53,114,5,1969,no,no,yes,Moos,normal,no,yes
572.66,11.69,49,2,1966,no,yes,yes,Moos,normal,no,yes
654.97,8.85,74,3,1987,no,yes,yes,Moos,normal,no,yes
594.54,10.08,59,2,2000,no,yes,yes,Feld-Has,normal,yes,yes
425.36,9.25,46,2,1972,no,yes,yes,Moos,normal,no,yes
505.38,9.36,54,2,1918,no,yes,no,Neuh-Nymp,good,no,yes
653.44,10.21,64,2,1918,no,yes,yes,Neuh-Nymp,good,no,yes
814.56,10.18,80,2,1918,yes,no,no,Neuh-Nymp,good,no,yes
282.77,5.34,53,2,1918,no,yes,yes,Neuh-Nymp,good,no,yes
471.66,7.61,62,3,1960,no,yes,yes,Obgies,normal,no,yes
511.44,7.01,73,3,1989,no,yes,yes,Obgies,normal,no,yes
593.11,8.6,69,3,1957,no,yes,yes,Obgies,normal,no,yes
378.37,7.42,51,2,1948,no,yes,yes,Obgies,normal,no,yes
1073.73,10.74,100,5,1977,no,yes,yes,Obgies,normal,no,yes
283.9,11.36,25,1,1948,no,yes,yes,SchwWest,good,no,yes
710.94,9.11,78,3,1972,no,yes,yes,Mil-AmH,normal,no,yes
408.89,8.7,47,1,1983,no,yes,yes,SchwWest,normal,no,yes
864.1,10.05,86,3,1966,no,yes,yes,Au-Lo-La,normal,no,yes
363.35,11.01,33,1,1970,no,yes,yes,Pas-Obmenz,normal,no,yes
619.69,5.16,120,4,1918,no,no,yes,Pas-Obmenz,normal,no,yes
862.57,7.84,110,5,1918,yes,yes,yes,Pas-Obmenz,normal,no,yes
499.23,6.66,75,3,1969,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
938.61,11.45,82,3,1967,yes,yes,yes,Th-Ob-Fo-Fu-So,top,yes,yes
611.96,11.13,55,2,1972,no,yes,yes,Lud-Isar,normal,no,yes
826.91,8.27,100,3,1918,no,no,yes,Schwanth,normal,no,yes
442.9,7.38,60,2,1966,no,yes,yes,Moos,normal,no,yes
877,11.39,77,3,1971,no,no,yes,Neuh-Nymp,good,no,yes
238.62,2.43,98,3,1918,no,yes,no,Neuh-Nymp,normal,no,yes
983.17,9.36,105,4,1948,yes,yes,yes,Neuh-Nymp,good,yes,yes
107.74,2.63,41,1,1939,no,no,yes,Neuh-Nymp,normal,no,yes
819.13,9.1,90,3,1985,yes,yes,yes,Neuh-Nymp,good,no,yes
417.47,5.09,82,4,1960,no,no,yes,Neuh-Nymp,normal,no,yes
1095.49,10.95,100,3,1978,no,yes,yes,SchwWest,normal,yes,yes
735.52,10.98,67,2,1918,no,yes,yes,Maxvor,good,yes,yes
710.24,12.46,57,2,1991,yes,yes,yes,Trud-Rie,normal,no,yes
632.47,12.16,52,2,1972,no,yes,yes,Send,normal,no,yes
870,9.06,96,3,1918,no,yes,yes,Send,normal,no,yes
495.84,7.87,63,2,1970,no,no,yes,Send-West,normal,no,yes
268.36,7.89,34,1,1957.5,no,yes,no,Send,normal,no,yes
637.85,7.78,82,3,1987,no,yes,yes,Schwanth,normal,no,yes
894.78,11.47,78,3,1918,yes,yes,yes,Au-Haid,good,yes,yes
444.83,11.12,40,2,1918,no,yes,yes,Lud-Isar,normal,no,yes
587.99,9.48,62,2,1918,no,yes,yes,Lud-Isar,normal,no,yes
485.73,9.91,49,2,1918,no,yes,yes,Neuh-Nymp,good,no,yes
766.95,10.65,72,3,1990,no,yes,yes,Neuh-Nymp,good,no,yes
720.93,10.45,69,3,1918,no,yes,yes,Neuh-Nymp,normal,no,yes
652.04,8.47,77,3,1971,no,yes,yes,Neuh-Nymp,normal,no,yes
536.86,9.76,55,2,1973,no,yes,yes,Neuh-Nymp,good,no,yes
332.6,8.32,40,2,1972,no,yes,yes,Neuh-Nymp,good,no,yes
584.6,9.13,64,2,1972,no,yes,yes,Neuh-Nymp,normal,no,yes
1344.72,10.76,125,6,1993,no,yes,yes,Neuh-Nymp,good,no,yes
442.46,4.21,105,4,1998.5,no,yes,yes,Ram-Per,good,no,yes
602.6,10.96,55,2,1989,no,yes,yes,Ram-Per,normal,no,yes
562.43,11.25,50,2,1987,yes,yes,yes,Ram-Per,normal,no,yes
384,7.11,54,2,1975,no,yes,yes,BamLaim,normal,no,yes
334,5.3,63,4,1966,no,yes,yes,BamLaim,normal,no,yes
239.44,4.79,50,2,1966,yes,yes,yes,BamLaim,normal,no,yes
910.11,9.48,96,4,1918,yes,yes,yes,Lud-Isar,good,no,yes
541.87,16.93,32,1,1918,no,yes,yes,Alt-Le,good,no,yes
